Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Zam15,Approximations of Stochastic Hybrid Systems: A Compositional Approach,"Majid Zamani, M. Rungger, and Peyman Mohajerin Esfahani",2015,2015-08-26,IEEE Transactions on Automatic Control,62,2838-2853,"In this paper we propose a compositional framework for the construction of approximations of the interconnection of a class of stochastic hybrid systems. As special cases, this class of systems includes both jump linear stochastic systems and linear stochastic hybrid automata. In the proposed framework, an approximation is itself a stochastic hybrid system, which can be used as a replacement of the original stochastic hybrid system in a controller design process. We employ a notion of so-called stochastic simulation function to quantify the error between the approximation and the original system. In the first part of the paper, we derive sufficient conditions which facilitate the compositional quantification of the error between the interconnection of stochastic hybrid subsystems and that of their approximations using the quantified error between the stochastic hybrid subsystems and their corresponding approximations. In particular, we show how to construct stochastic simulation functions for approximations of interconnected stochastic hybrid systems using the stochastic simulation function for the approximation of each component. In the second part of the paper, we focus on a specific class of stochastic hybrid systems, namely, jump linear stochastic systems, and propose a constructive scheme to determine approximations together with their stochastic simulation functions for this class of systems. Finally, we illustrate the effectiveness of the proposed results by constructing an approximation of the interconnection of four jump linear stochastic subsystems in a compositional way.",44,4.1,10.1109/TAC.2016.2619419,https://doi.org/10.1109/TAC.2016.2619419,1.3000
Ave17,Approximate and Exact Solutions of Intertwining Equations Through Random Spanning Forests,"L. Avena, F. Castell, A. Gaudilliere, and Clothilde Mélot",2017,2017-02-17,Progress in Probability,,,"For different reversible Markov kernels on finite state spaces, we look for families of probability measures for which the time evolution almost remains in their convex hull. Motivated by signal processing problems and metastability studies we are interested in the case when the size of such families is smaller than the size of the state space, and we want such distributions to be with small overlap among them. To this aim we introduce a squeezing function to measure the common overlap of such families, and we use random forests to build random approximate solutions of the associated intertwining equations for which we can bound from above the expected values of both squeezing and total variation errors. We also explain how to modify some of these approximate solutions into exact solutions by using those eigenvalues of the associated Laplacian with the largest absolute values.",11,1.2,10.1007/978-3-030-60754-8_3,https://doi.org/10.1007/978-3-030-60754-8_3,1.3000
Taz08,Bisimilar Finite Abstractions of Interconnected Systems,Y. Tazaki and J. Imura,2008,2008-04-22,International Conference on Hybrid Systems: Computation and Control,,514-527,,72,4.0,10.1007/978-3-540-78929-1_37,https://doi.org/10.1007/978-3-540-78929-1_37,1.3000
Wol14,Optimal high-level descriptions of dynamical systems,"D. Wolpert, Joshua A. Grochow, E. Libby, and S. Dedeo",2014,2014-09-25,arXiv: Information Theory,,,"To analyze high-dimensional systems, many fields in science and engineering rely on high-level descriptions, sometimes called ""macrostates,"" ""coarse-grainings,"" or ""effective theories"". Examples of such descriptions include the thermodynamic properties of a large collection of point particles undergoing reversible dynamics, the variables in a macroeconomic model describing the individuals that participate in an economy, and the summary state of a cell composed of a large set of biochemical networks. 
Often these high-level descriptions are constructed without considering the ultimate reason for needing them in the first place. Here, we formalize and quantify one such purpose: the need to predict observables of interest concerning the high-dimensional system with as high accuracy as possible, while minimizing the computational cost of doing so. The resulting State Space Compression (SSC) framework provides a guide for how to solve for the {optimal} high-level description of a given dynamical system, rather than constructing it based on human intuition alone. 
In this preliminary report, we introduce SSC, and illustrate it with several information-theoretic quantifications of ""accuracy"", all with different implications for the optimal compression. We also discuss some other possible applications of SSC beyond the goal of accurate prediction. These include SSC as a measure of the complexity of a dynamical system, and as a way to quantify information flow between the scales of a system.",22,1.9,,https://www.semanticscholar.org/paper/ba13d49c5b1c2a274b585094ea89c9a4e74ba5cb,1.3000
Rei15,Feedback Refinement Relations for the Synthesis of Symbolic Controllers,"G. Reissig, Alexander Weber, and M. Rungger",2015,2015-03-12,IEEE Transactions on Automatic Control,62,1781-1796,"We present an abstraction and refinement methodology for the automated controller synthesis to enforce general predefined specifications. The designed controllers require quantized (or symbolic) state information only and can be interfaced with the system via a static quantizer. Both features are particularly important with regard to any practical implementation of the designed controllers and, as we prove, are characterized by the existence of a feedback refinement relation between plant and abstraction. Feedback refinement relations are a novel concept introduced in this paper. Our work builds on a general notion of system with set-valued dynamics and possibly non-deterministic quantizers to permit the synthesis of controllers that robustly, and provably, enforce the specification in the presence of various types of uncertainties and disturbances. We identify a class of abstractions that is canonical in a well-defined sense, and provide a method to efficiently compute canonical abstractions. We demonstrate the practicality of our approach on two examples.",258,23,10.1109/TAC.2016.2593947,https://doi.org/10.1109/TAC.2016.2593947,1.3000
Zha24e,On Finding Optimal Collective Variables for Complex Systems by Minimizing the Deviation between Effective and Full Dynamics,Wei Zhang and Christof Schütte,2024,2024-05-03,Multiscale Model. Simul.,23,924-958,"This paper is concerned with collective variables, or reaction coordinates, that map a discrete-in-time Markov process $X_n$ in $\mathbb{R}^d$ to a (much) smaller dimension $k \ll d$. We define the effective dynamics under a given collective variable map $\xi$ as the best Markovian representation of $X_n$ under $\xi$. The novelty of the paper is that it gives strict criteria for selecting optimal collective variables via the properties of the effective dynamics. In particular, we show that the transition density of the effective dynamics of the optimal collective variable solves a relative entropy minimization problem from certain family of densities to the transition density of $X_n$. We also show that many transfer operator-based data-driven numerical approaches essentially learn quantities of the effective dynamics. Furthermore, we obtain various error estimates for the effective dynamics in approximating dominant timescales / eigenvalues and transition rates of the original process $X_n$ and how optimal collective variables minimize these errors. Our results contribute to the development of theoretical tools for the understanding of complex dynamical systems, e.g. molecular kinetics, on large timescales. These results shed light on the relations among existing data-driven numerical approaches for identifying good collective variables, and they also motivate the development of new methods.",4,2.0,10.1137/24m1658917,https://doi.org/10.1137/24m1658917,1.2800
Rav00,Approximate Homomorphisms : A framework for non-exact minimization in Markov Decision Processes,Balaraman Ravindran,,,,,,To operate effectively in complex environments learning agents require the ability to selectively ignore irrelevant details and form useful abstractions. In earlier work we explored in detail what constitutes a useful abstraction in a stochastic sequential decision problem modeled as a Markov Decision Process (MDP). We based our approach on the notion of an MDP homomorphism. In this article we look at relaxing the strict conditions imposed earlier and introduce approximate homomorphisms that allow us to construct useful abstract models even when the homomorphism conditions are not met exactly. We also present a result on bounding the loss resulting from this approximation.,102,102,,https://www.semanticscholar.org/paper/133583b9c4634702ab2579205ee3eb78714b7feb,1.2600
Kaw14,Network Entropy and Data Rates Required for Networked Control,C. Kawan and J. Delvenne,2014,2014-09-21,IEEE Transactions on Control of Network Systems,3,57-66,"We consider the problem of making a set of states invariant for a network of controlled systems. We assume that the subsystems, initially uncoupled, must be interconnected through controllers to be designed with a constraint on the data rate obtained by every subsystem from all other subsystems. As a measure for the smallest data rate arriving at a fixed subsystem, above which the overall system is able to achieve the control goal, we introduce the notion of subsystem invariance entropy. Moreover, we associate with a network of n subsystems, a closed convex subset of Rn encompassing all possible combinations of data rates within the network that guarantee the existence of corresponding feedback strategies for making a given set invariant. The extremal points of this convex set can be regarded as Pareto-optimal data rates for the control problem, expressing a tradeoff between the data rates required by different systems. For linear systems and for synchronization of chaos, these quantities are characterized.",26,2.2,10.1109/TCNS.2015.2440551,https://doi.org/10.1109/TCNS.2015.2440551,1.2500
Rub89,On weak lumpability in Markov chains,G. Rubino,1989,1989-09-01,Journal of Applied Probability,26,446 - 457,,53,1.4,10.2307/3214403,https://doi.org/10.2307/3214403,1.2000
Hee10,"Networked Control Systems With Communication Constraints: Tradeoffs Between Transmission Intervals, Delays and Performance","W. Heemels, A. Teel, N. Wouw, and D. Nešić",2010,2010-02-08,IEEE Transactions on Automatic Control,55,1781-1796,,882,54,10.1109/TAC.2010.2042352,https://doi.org/10.1109/TAC.2010.2042352,1.2000
