Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Kha22,Attacks on Perception-Based Control Systems: Modeling and Fundamental Limits,"Amir Khazraei, H. Pfister, and Miroslav Pajic",2022,2022-06-14,IEEE Transactions on Automatic Control,69,7726-7741,"We study the performance of perception-based control systems in the presence of attacks and provide methods for modeling and analysis of their resiliency to stealthy attacks on both physical and perception-based sensing. Specifically, we consider a general setup with a nonlinear affine physical plant controlled with a perception-based controller that maps both the physical [e.g., inertial measurement units (IMUs)] and perceptual (e.g., camera) sensing to the control input; the system is also equipped with a statistical or learning-based anomaly detector (AD). We model the attacks in the most general form and introduce the notions of attack effectiveness and stealthiness independent of the used AD. In such a setting, we consider attacks with different levels of runtime knowledge about the plant. We find sufficient conditions for the existence of stealthy effective attacks that force the plant into an unsafe region without being detected by any AD. We show that as the open-loop unstable plant dynamics diverges faster and the closed-loop system converges faster to an equilibrium point, the system is more vulnerable to effective stealthy attacks. Also, depending on runtime information available to the attacker, the probability of the attack remaining stealthy can be arbitrarily close to one if the attacker's estimate of the plant's state is arbitrarily close to the true state; when an accurate estimate of the plant state is not available, the stealthiness level depends on the control performance in attack-free operation.",11,2.8,10.1109/TAC.2024.3401022,https://doi.org/10.1109/TAC.2024.3401022,1.2000
Hal68,Differential Games with Delay,A. Halanay,1968,1968-11-01,Siam Journal on Control,6,579-593,,15,0.3,10.1137/0306036,https://doi.org/10.1137/0306036,1.1800
Yu20c,Competitive Control with Delayed Imperfect Information,"Chenkai Yu, Guanya Shi, Soon-Jo Chung, Yisong Yue, and A. Wierman",2020,2020-10-22,2022 American Control Conference (ACC),,2604-2610,"This paper studies the impact of imperfect information in online control with adversarial disturbances. In particular, we consider both delayed state feedback and inexact predictions of future disturbances. We introduce a greedy, myopic policy that yields a constant competitive ratio against the offline optimal policy. We also analyze the fundamental limits of online control with limited information by showing that our competitive ratio bounds for the greedy, myopic policy in the adversarial setting match (up to lower-order terms) lower bounds in the stochastic setting.",26,4.7,10.23919/ACC53348.2022.9867421,https://doi.org/10.23919/ACC53348.2022.9867421,1.1700
Kho18g,Learning-Based Attacks in Cyber-Physical Systems,"M. J. Khojasteh, Anatoly Khina, M. Franceschetti, and T. Javidi",2018,2018-09-17,IEEE Transactions on Control of Network Systems,8,437-449,"We introduce the problem of learning-based attacks in a simple abstraction of cyber-physical systems— the case of a discrete-time, linear, time-invariant plant that may be subject to an attack that overrides sensor readings and controller actions. The attacker attempts to learn the dynamics of the plant and subsequently overrides the controller's actuation signal to destroy the plant without being detected. The attacker can feed fictitious sensor readings to the controller using its estimate of the plant dynamics and mimic the legitimate plant operation. The controller, in contrast, is constantly on the lookout for an attack; once the controller detects an attack, it immediately shuts the plant off. In the case of scalar plants, we derive an upper bound on the attacker's deception probability for any measurable control policy when the attacker uses an arbitrary learning algorithm to estimate the system dynamics. We then derive lower bounds for the attacker's deception probability for both scalar and vector plants by assuming an authentication test that inspects the empirical variance of the system disturbance. We also show how the controller can improve the security of the system by superimposing a carefully crafted privacy-enhancing signal on top of the “nominal control policy.” Finally, for nonlinear scalar dynamics that belong to the reproducing kernel Hilbert space, we investigate the performance of attacks based on nonlinear Gaussian process learning algorithms.",28,3.6,10.1109/TCNS.2020.3028035,https://doi.org/10.1109/TCNS.2020.3028035,1.1500
Kal20b,Modelling distributed decision-making in Command and Control using stochastic network synchronisation,"A. Kalloniatis, T. McLennan-Smith, and Dale O. Roberts",2020,2020-07-16,Eur. J. Oper. Res.,284,588-603,"Abstract We advance a mathematical representation of Command and Control as distributed decision makers using the Kuramoto model of networked phase oscillators. The phase represents a continuous Perception-Action cycle of agents at each network node; the network the formal and informal communications of human agents and information artefacts; coupling the strength of relationship between agents; native frequencies the individual decision speeds of agents when isolated; and stochasticity temporal noisiness in intrinsic agent behaviour. Skewed heavy-tailed noise captures that agents may randomly ‘jump’ forward (rather than backwards) in their decision state under time stress; there is considerable evidence from organisational science that experienced decision-makers behave in this way in critical situations. We present a use-case for the model using data for military headquarters staff tasked to drive a twenty-four hour ‘battle-rhythm’. This serves to illustrate how such a mathematical model may be used realistically. We draw on a previous case-study where headquarters’ networks were mapped for routine business and crisis scenarios to provide advice to a military sponsor. We tune the model using the first data set to match observations that staff performed synchronously under such conditions. Testing the impact of the crisis scenario using the corresponding network and heavy-tailed stochasticity, we find increased probability of decision incoherence due to the high information demand of some agents in this case. This demonstrates the utility of the model to identify risks in headquarters design, and potential means of identifying points to change. We compare to qualitative organisational theories to initially validate the model.",22,3.8,10.1016/j.ejor.2019.12.033,https://doi.org/10.1016/j.ejor.2019.12.033,1.1500
Moo80,A Dynamic Model for C3 Information Incorporating the Effects of Counter C3,P. Moose,1980,1980-12-01,,,,"Abstract : A dynamical model is proposed for C3 information that explicitly incorporates effects of counter-C3 activities. The model assumes an inevitable growth of uncertainty inherent in military situations that is only counteracted by continuously importing new information into the system. Counter-C3 activities are modeled as additional growth terms in uncertainty that depend on the instantaneous knowledge of both sides. It is shown for this model the relative shift of system equilibrium is directly proportional to the ratio of the counter-C3 coupling coefficient to the system's natural uncertainty (entropy) growth rate. Furthermore, it is shown that small perturbations from the stable equilibrium are restored to equilibrium by the system forces, i.e. the system is ultra-stable. However, a perturbation of entropy of one side, induces a delayed perturbation of entropy on the other side with opposite sign. Thus, if X becomes fortuitously more knowledgeable by chance, Y will in turn, some time later, become more uncertain, and vice versa.",0,,10.21236/ada522364,https://doi.org/10.21236/ada522364,1.1000
Hub16,Inducing and Mitigating a Self-Reinforcing Degradation in Decision-making Teams,"P. Hubbard, A. Kott, and Michael Martin",2016,2016-07-27,ArXiv,abs/1607.08139,,"The models in this paper demonstrate how self-reinforcing error due to positive feedback can lead to overload and saturation of decision-making elements, and ultimately the cascading collapse of an organization due to the propagation of overload and erroneous decisions throughout the organization. We begin the paper with an analysis of the stability of the decision-making aspects of command organizations from a system-theoretic perspective. A simple dynamic model shows how an organization can enter into a self-reinforcing cycle of increasing decision workload until the demand for decisions exceeds the decision-making capacity of the organization. We then extend the model to more complex networked organizations and show that they also experience a form of self-reinforcing degradation. In particular, we find that the degradation in decision quality has a tendency to propagate through the hierarchical structure, i.e. overload at one location affects other locations by overloading the higher-level components which then in turn overload their subordinates. Our computational experiments suggest several strategies for mitigating this type of malfunction: dumping excessive load, empowering lower echelons, minimizing the need for coordination, using command-by-negation, insulating weak performers, and applying on-line diagnostics. We describe a method to allocate decision responsibility and arrange information flow dynamically within a team of decision-makers for command and control.",0,,,https://www.semanticscholar.org/paper/ad6317ed5cc4c16a21f40ac91352cec62dadb583,1.1000
Chy70,A pursuit-evasion game of linear systems with delay,D. Chyung,1970,1970-06-01,IEEE Transactions on Automatic Control,15,387-389,"A simple pursuit-evasion game of linear systems with time delays is studied, and necessary conditions for an optimal control pair are obtained.",4,0.1,10.1109/TAC.1970.1099474,https://doi.org/10.1109/TAC.1970.1099474,1.1000
Boe82,Modeling the Interacting Decisionmaker with Bounded Rationality,K. Boettcher and A. Levis,1982,1982-05-01,"IEEE Transactions on Systems, Man, and Cybernetics",12,334-344,"An analytic characterization of the process of executing a well-defined decisionmaking task by a human decisionmaker is presented. A basic two-stage model of this process is introduced in which external situations are first assessed and then responses are selected. An information theoretic framework is used in which internal activity is described not only in terms of transmission or throughput, but also in terms of coordination, internal decisionmaking, and blockage. A constraint on the total rate of internal processing is suggested as a model of bounded rationality for this case. Optimizing and satisficing strategies are derived and their properties analyzed in terms of performance and workload. Finally, direct and indirect controls are discussed as models of the decisionmaker's interaction with the organization.",55,1.2,10.1109/TSMC.1982.4308823,https://doi.org/10.1109/TSMC.1982.4308823,1.0800
Che70,Differential Games with Information Delay,F. L. Chernous’ko,1970,1970-04-01,,14,952,,3,0.1,,https://www.semanticscholar.org/paper/73bbe462a9e067e10cba403d3b122a85ace9f202,1.0700
Cil71,Differential Games with Information Time Lag: A Comparison of Strategies,M. Ciletti,1971,1971-11-01,,,,"Abstract : The report is a continuation of earlier studies in the development of the theory of differential games with information time lag (DGWITL). Pertinent aspects of the theory of differential games with information time lag are summarized. The generalized Hamilton-Jacobi equation for the linear regulator game is shown to have a sigma-parametric solution in the data-reference plane. The main effort in this report has been to provide examples which demonstrate both the applicability of the theory of DGWITL and the importance of information delay considerations in control law synthesis. Examples illustrate the performance degradation that can accompany a failure to compensate for information delay in differential games. At the same time, the quantitative effects displayed in the examples serve to motivate questions relevant to engineering tradeoffs between control law design and system design.",0,,,https://www.semanticscholar.org/paper/c61f6ad0be4bb9cee99b75eed2ae7f1aab0888b8,1.0500
Dem18b,A Game-Theoretic Analysis of the Adversarial Boyd-Kuramoto Model,"Antonin Demazy, A. Kalloniatis, and Tansu Alpcan",2018,2018-10-29,Decision and Game Theory for Security,,248-264,,4,0.5,10.1007/978-3-030-01554-1_14,https://doi.org/10.1007/978-3-030-01554-1_14,1.0500
Hoc97b,Compensatory control in the regulation of human performance under stress and high workload; a cognitive-energetical framework.,G. R. J. Hockey,1997,1997-03-21,Biological psychology,45 1-3,"'
          73-93
        ",,1704,58,10.1016/S0301-0511(96)05223-4,https://doi.org/10.1016/S0301-0511(96)05223-4,1.0500
Mo10,False Data Injection Attacks in Control Systems,Yilin Mo and B. Sinopoli,2010,,,,,"This paper analyzes the effects of false data injection attacks on Control System. We assume that the system, equipped with a Kalman ﬁlter and LQG controller, is used to monitor and control a discrete linear time invariant Gaussian system. We further assume that the system is equipped with a failure detector. An attacker wishes to destabilize the system by compromising a subset of sensors and sending corrupted readings to the state estimator. In order to inject fake sensor measurements without being detected the attacker needs to carefully design its inputs to fool the failure detector, since abnormal sensor measurements usually trigger an alarm from the failure detector. We will provide a necessary and sufﬁcient condition under which the attacker could destabilize the system while successfully bypassing the failure detector. A design method for the de-fender to improve the resilience of the CPS against such kind of false data injection attacks is also provided.",378,23,,https://www.semanticscholar.org/paper/f44c3c65b572748dbad5fbcd2f93f1a364b661e2,1.0500
Sui20,The Vulnerability of Cyber-Physical System Under Stealthy Attacks,"Tianju Sui, Yilin Mo, D. Marelli, Ximing Sun, and M. Fu",2020,2020-02-01,IEEE Transactions on Automatic Control,66,637-650,"In this article, we study the impact of stealthy attacks on the cyber-physical system (CPS) modeled as a stochastic linear system. An attack is characterised by a malicious injection into the system through input, output or both, and it is called stealthy (resp. strictly stealthy) if it produces bounded changes (resp. no changes) in the detection residue. Correspondingly, a CPS is called vulnerable (resp. strictly vulnerable) if it can be destabilized by a stealthy attack (resp. strictly stealthy attack). We provide necessary and sufficient conditions for the vulnerability and strictly vulnerability. For the invulnerable case, we also provide a performance bound for the difference between healthy and attacked system. Numerical examples are provided to illustrate the theoretical results.",140,22,10.1109/TAC.2020.2987307,https://doi.org/10.1109/TAC.2020.2987307,1.0500
Fot25,Adversarial Observability and Performance Tradeoffs in Optimal Control,Filippos Fotiadis and U. Topcu,2025,2025-06-24,ArXiv,abs/2506.19829,,"We develop a feedback controller that minimizes the observability of a set of adversarial sensors of a linear system, while adhering to strict closed-loop performance constraints. We quantify the effectiveness of adversarial sensors using the trace of their observability Gramian and its inverse, capturing both average observability and the least observable state directions of the system. We derive theoretical lower bounds on these metrics under performance constraints, characterizing the fundamental limits of observability reduction as a function of the performance trade-off. Finally, we show that the performance-constrained optimization of the Gramian's trace can be formulated as a one-shot semidefinite program, while we address the optimization of its inverse through sequential semidefinite programming. Simulations on an aircraft show how the proposed scheme yields controllers that deteriorate adversarial observability while having near-optimal performance.",0,,10.48550/arXiv.2506.19829,https://doi.org/10.48550/arXiv.2506.19829,1.0500
Zhu20,Stochastic approximation with nondecaying gain: Error bound and data‐driven gain‐tuning,Jingyi Zhu and J. Spall,2020,2020-09-25,International Journal of Robust and Nonlinear Control,30,5820 - 5870,"Our problem of interest is to minimize a sequence of scalar‐valued loss functions fk(·) or to locate the root(s) of a sequence of vector‐valued functions gk(·) corresponding to time τk with respect to a parameter θ∈ℝp . The available information for the minimization/root‐finding is the noise‐corrupted observation(s) of either fk(·) or gk(·) evaluated at a few of certain design points only. Taking both the dynamics and randomness into consideration, we use stochastic approximation (SA) algorithms to solve the time‐varying problem, but with a nondecaying gain (stepsize). The tracking performance of the nondecaying gain SA algorithm is guaranteed by a computable bound for the root‐mean‐squared error and mean‐absolute‐deviation. The only assumption imposed on the drifts is that the average distance between two consecutive underlying true parameters is bounded from above—this assumption allows the varying target to change abruptly. The error term arising from using the noisy evaluation of fk(·) or gk(·) in constructing the search direction is assumed to have bounded second‐moment—this allows for biased estimator to be used in the SA algorithms. Given the lenient assumptions on the drift and error term, the error bounds apply to a broad class of time‐varying scenarios and are useful for finite‐sample analysis. Since the tracking capability characterizes the average performance across all possible sample paths, it may not provide much guidance on the gain‐tuning strategies useful for one single run. Hence, we propose a data‐dependent gain‐tuning strategy based on estimating the Hessian information and the noise level. The adaptive rule is advantageous as it enables the step size to vary with information gathered during the progress of the estimation procedure.",11,1.9,10.1002/rnc.5151,https://doi.org/10.1002/rnc.5151,1.0400
Ben82,A measure of the tracking capability of recursive stochastic algorithms with constant gains,A. Benveniste and G. Ruget,1982,1982-06-01,IEEE Transactions on Automatic Control,27,639-649,"A criterion is given for measuring the tracking capability of recursive algorithms when applied to slowly time-varying systems; the optimal gain for a given disturbance is also calculated. This criterion is seen to have some connection with the Fisher information matrix, and allows us to select a priori the best algorithm for identifying a given unknown parameter which may be subject to smooth unknown disturbances. Examples of applications are given in the areas of identification theory and data communication theory.",112,2.5,10.1109/TAC.1982.1102981,https://doi.org/10.1109/TAC.1982.1102981,1.0300
Sch76,Stochastic pursuit-evasion games with information lag. II. Observation with error,M. Schreuer,1976,1976-06-01,Journal of Applied Probability,13,313 - 328,,0,,10.2307/3212834,https://doi.org/10.2307/3212834,1.0200
Bai17b,Data-injection attacks in stochastic control systems: Detectability and performance tradeoffs,"Cheng-Zong Bai, F. Pasqualetti, and V. Gupta",2017,2017-04-03,ArXiv,abs/1704.00748,,"Abstract Consider a stochastic process being controlled across a communication channel. The control signal that is transmitted across the control channel can be replaced by a malicious attacker. The controller is allowed to implement any arbitrary detection algorithm to detect if an attacker is present. This work characterizes some fundamental limitations of when such an attack can be detected, and quantifies the performance degradation that an attacker that seeks to be undetected or stealthy can introduce.",225,25,10.1016/j.automatica.2017.04.047,https://doi.org/10.1016/j.automatica.2017.04.047,1.0000
Rho69,Differential games with imperfect state information,I. Rhodes and D. Luenberger,1969,1969-02-01,IEEE Transactions on Automatic Control,14,29-38,"Nondeterministic differential games of imperfect information are considered, with particular emphasis on the case of a linear system, a quadratic cost functional, and independent white Gaussian noises additively corrupting the observable output measurements. Solutions are presented for a number of particular cases of this problem, including those in which one of the two controllers has either no information or, under certain additional restrictions, perfect measurements of the state vector. In each case the optimal control for each controller is shown to be closely related to that which would result by assuming a separation theorem to hold. Furthermore, the various terms in the resulting optimal cost are shown to be readily assignable to the appropriate contributing source, such as the optimal cost that would result if the problem were instead a deterministic one with perfect information, the effect of estimation errors, or the effect of measurement errors.",87,1.5,10.1109/TAC.1969.1099086,https://doi.org/10.1109/TAC.1969.1099086,1.0000
Hua21c,A Pursuit-Evasion Differential Game with Strategic Information Acquisition,Yunhan Huang and Quanyan Zhu,2021,2021-02-10,ArXiv,abs/2102.05469,,"—This paper studies a two-person linear-quadratic-Gaussian pursuit-evasion differential game with costly but con- trolled information. One player can decide when to observe the other player’s state. However, one observation of another player’s state comes with two costs: the direct cost of observing and the implicit cost of exposing his state. We call games of this type a Pursuit-Evasion-Exposure-Concealment (PEEC) game. The PEEC game constitutes two types of strategies: The control strategies and the observation strategies. We fully characterize the Nash control strategies of the PEEC game using techniques such as completing squares and the calculus of variations. We show that the derivation of the Nash observation strategies and the Nash control strategies can be decoupled. We develop a set of necessary conditions that facilitate the numerical computation of the Nash observation strategies. We show, in theory, that players with less maneuverability prefer concealment to exposure. We also show that when the game’s horizon goes to inﬁnity, the Nash observation strategy is to observe periodically, and the expected distance between the pursuer and the evader goes to zero with a bounded second moment. We conducted a series of numerical experiments to study the proposed PEEC game. We illustrate the numerical results using both ﬁgures and animation. Numerical results show that the pursuer can maintain high-grade performance even when the number of observations is limited. We also show that an evader with low maneuverability can still escape if the evader increases his stealthiness.",9,1.7,,https://www.semanticscholar.org/paper/1f5c96dc2cdf5427d5795332d95474c7e7eeba51,1.0000
Koi73,On a game problem involving systems with time delay,A. Koivo and D. Repperger,1973,1973-04-01,IEEE Transactions on Automatic Control,18,149-152,"A dynamic programming approach is used to obtain feedback solutions to a game problem involving linear systems having a time delay. As is known, the optimal feedback gains in linear time delay systems with quadratic criterion are determined by partial differential equations [1]. In the particular case studied here, the solution to these equations can be obtained by first separating variables and then solving the resulting simpler equations. The optimal feedback control also has the advantage that it can be realized on-line.",9,0.2,10.1109/TAC.1973.1100250,https://doi.org/10.1109/TAC.1973.1100250,0.9700
Shi00,On the Compensation of Imperfect Information in Dynamic Games,"J. Shinar, T. Shima, and V. Glizer",2000,2000-06-01,IGTR,2,229-248,"A linear pursuit-evasion game with first-order acceleration dynamics and bounded controls is considered. In this game, the pursuer has to estimate the state variables of the game, including the lateral acceleration of the evader, based on the noise-corrupted measurements of the relative position vector. The estimation process inherently involves some delay, rendering the information structure of the pursuer imperfect. If the pursuer implements the optimal strategy of the perfect information game, an evader with perfect information can take advantage of the estimation delay. However, the performance degradation is minimised if the pursuer compensates for its own estimation delay by implementing the optimal strategy derived from the solution of the imperfect (delayed) information game. In this paper the analytical solution of the delayed information game, allowing to predict the value of the game, is presented. The theoretical results are tested in a noise-corrupted scenario by Monte Carlo simulations, using a Kalman filter type estimator. The simulation results confirm the substantial improvement achieved by the new pursuer strategy.",5,0.2,10.1142/S0219198900000160,https://doi.org/10.1142/S0219198900000160,0.9500
Nai04,Stabilizability of Stochastic Linear Systems with Finite Feedback Data Rates,G. Nair and R. Evans,2004,2004-02-01,SIAM J. Control. Optim.,43,413-436,"Feedback control with limited data rates is an emerging area which incorporates ideas from both control and information theory. A fundamental question it poses is how low the closed-loop data rate can be made before a given dynamical system is impossible to stabilize by any coding and control law. Analogously to source coding, this defines the smallest error-free data rate sufficient to achieve ""reliable"" control, and explicit expressions for it have been derived for linear time-invariant systems without disturbances. In this paper, the more general case of finite-dimensional linear systems with process and observation noise is considered, the object being mean square state stability. By inductive arguments employing the entropy power inequality of information theory, and a new quantizer error bound, an explicit expression for the infimum stabilizing data rate is derived, under very mild conditions on the initial state and noise probability distributions.",753,34,10.1137/S0363012902402116,https://doi.org/10.1137/S0363012902402116,0.9500
