Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Eve16,Self-Modification of Policy and Utility Function in Rational Agents,"Tom Everitt, Daniel Filan, M. Daswani, and Marcus Hutter",2016,2016-05-10,Artificial General Intelligence,,1-11,"Any agent that is part of the environment it interacts with and has versatile actuators (such as arms and fingers), will in principle have the ability to self-modify – for example by changing its own source code. As we continue to create more and more intelligent agents, chances increase that they will learn about this ability. The question is: will they want to use it? For example, highly intelligent systems may find ways to change their goals to something more easily achievable, thereby ‘escaping’ the control of their creators. In an important paper, Omohundro (2008) argued that goal preservation is a fundamental drive of any intelligent system, since a goal is more likely to be achieved if future versions of the agent strive towards the same goal. In this paper, we formalise this argument in general reinforcement learning, and explore situations where it fails. Our conclusion is that the self-modification possibility is harmless if and only if the value function of the agent anticipates the consequences of self-modifications and use the current utility function when evaluating the future.",33,3.3,10.1007/978-3-319-41649-6_1,https://doi.org/10.1007/978-3-319-41649-6_1,0.9800
Tho25,Shutdownable Agents through POST-Agency,Elliott Thornley,2025,2025-05-26,ArXiv,abs/2505.20203,,"Many fear that future artificial agents will resist shutdown. I present an idea - the POST-Agents Proposal - for ensuring that doesn't happen. I propose that we train agents to satisfy Preferences Only Between Same-Length Trajectories (POST). I then prove that POST - together with other conditions - implies Neutrality+: the agent maximizes expected utility, ignoring the probability distribution over trajectory-lengths. I argue that Neutrality+ keeps agents shutdownable and allows them to be useful.",2,2.0,10.48550/arXiv.2505.20203,https://doi.org/10.48550/arXiv.2505.20203,0.9300
Hud25,Corrigibility Transformation: Constructing Goals That Accept Updates,Rubi Hudson,2025,2025-10-17,ArXiv,abs/2510.15395,,"For an AI's training process to successfully impart a desired goal, it is important that the AI does not attempt to resist the training. However, partially learned goals will often incentivize an AI to avoid further goal updates, as most goals are better achieved by an AI continuing to pursue them. We say that a goal is corrigible if it does not incentivize taking actions that avoid proper goal updates or shutdown. In addition to convergence in training, corrigibility also allows for correcting mistakes and changes in human preferences, which makes it a crucial safety property. Despite this, the existing literature does not include specifications for goals that are both corrigible and competitive with non-corrigible alternatives. We provide a formal definition for corrigibility, then introduce a transformation that constructs a corrigible version of any goal that can be made corrigible, without sacrificing performance. This is done by myopically eliciting predictions of reward conditional on costlessly preventing updates, which then also determine the reward when updates are accepted. The transformation can be modified to recursively extend corrigibility to any new agents created by corrigible agents, and to prevent agents from deliberately modifying their goals. Two gridworld experiments demonstrate that these corrigible goals can be learned effectively, and that they lead to the desired behavior.",0,,10.48550/arXiv.2510.15395,https://doi.org/10.48550/arXiv.2510.15395,0.9000
Zie00,The problem of AI identity,Soenke Ziesche and Roman V. Yampolskiy,,,,,,"The problem of personal identity is a longstanding philosophical topic albeit without final consensus. In this article the somewhat similar problem of AI identity is discussed, which has not gained much traction yet, although this investigation is increasingly relevant for different fields, such as ownership issues, personhood of AI, AI welfare, brain–machine interfaces, the distinction between singletons and multi-agent systems as well as to potentially support finding a solution to the problem of personal identity. The AI identity problem analyses the criteria for two AIs to be considered the same at different points in time. Two approaches to tackle the problem are proposed: One is based on the personal identity problem and the concept of computational irreducibility, while the other one applies multi-factor authentication to the AI identity problem. Also, a range of scenarios is examined regarding AI identity, such as replication, fission, fusion, switch off, resurrection, change of hardware, transition from non-sentient to sentient, journey to the past, offspring and identity change.",0,,,https://www.semanticscholar.org/paper/24dc47dcf76ee2d8a3d1a863e8d142dc27f99b4e,0.8600
Eve19c,Reward Tampering Problems and Solutions in Reinforcement Learning: A Causal Influence Diagram Perspective,Tom Everitt and Marcus Hutter,2019,2019-08-13,ArXiv,abs/1908.04734,,"Can an arbitrarily intelligent reinforcement learning agent be kept under control by a human user? Or do agents with sufficient intelligence inevitably find ways to shortcut their reward signal? This question impacts how far reinforcement learning can be scaled, and whether alternative paradigms must be developed in order to build safe artificial general intelligence. In this paper, we use an intuitive yet precise graphical model called causal influence diagrams to formalize reward tampering problems. We also describe a number of modifications to the reinforcement learning objective that prevent incentives for reward tampering. We verify the solutions using recently developed graphical criteria for inferring agent incentives from causal influence diagrams. Along the way, we also compare corrigibility and self-preservation properties of the various solutions, and discuss how they can be combined into a single agent without reward tampering incentives.",145,21,,https://www.semanticscholar.org/paper/6cc143037044cd3ef3a3f194ba0a1b2446854e26,0.8200
Her13b,"Tiling Agents for Self-Modifying AI , and the Löbian Obstacle *",Eliezer Herreshoff,2013,,,,,"We model self-modification in AI by introducing “tiling” agents whose decision systems will approve the construction of highly similar agents, creating a repeating pattern (including similarity of the offspring’s goals). Constructing a formalism in the most straightforward way produces a Gödelian difficulty, the “Löbian obstacle.” By technical methods we demonstrate the possibility of avoiding this obstacle, but the underlying puzzles of rational coherence are thus only partially addressed. We extend the formalism to partially unknown deterministic environments, and show a very crude extension to probabilistic environments and expected utility; but the problem of finding a fundamental decision criterion for self-modifying probabilistic agents remains open.",31,2.3,,https://www.semanticscholar.org/paper/d6d1e0441f20aee1a9e57e304b16705310abdaa6,0.7900
Arm17,'Indifference' methods for managing agent rewards,S. Armstrong,2017,2017-12-18,ArXiv,abs/1712.06365,,"Indifference is a class of methods that are used to control a reward based agent, by, for example, safely changing their reward or policy, or making the agent behave as if a certain outcome could never happen. These methods of control work even if the implications of the agent's reward are otherwise not fully understood. Though they all come out of similar ideas, indifference techniques can be classified as way of achieving one or more of three distinct goals: rewards dependent on certain events (with no motivation for the agent to manipulate the probability of those events), effective disbelief that an event will ever occur, and seamless transition from one behaviour to another. There are five basic methods to achieve these three goals. This paper classifies and analyses these methods on POMDPs (though the methods are highly portable to other agent designs), and establishes their uses, strengths, and limitations. It aims to make the tools of indifference generally accessible and usable to agent designers.",21,2.5,,https://www.semanticscholar.org/paper/56ecec19926d70bc6616315a1bea738407486835,0.7400
Dem19b,Embedded Agency,A. Demski and Scott Garrabrant,2019,2019-02-25,ArXiv,abs/1902.09469,,"Traditional models of rational action treat the agent as though it is cleanly separated from its environment, and can act on that environment from the outside. Such agents have a known functional relationship with their environment, can model their environment in every detail, and do not need to reason about themselves or their internal parts. We provide an informal survey of obstacles to formalizing good reasoning for agents embedded in their environment. Such agents must optimize an environment that is not of type ""function""; they must rely on models that fit within the modeled environment; and they must reason about themselves as just another physical system, made of parts that can be modified and that can work at cross purposes.",37,5.1,10.1007/978-3-319-15347-6_300496,https://doi.org/10.1007/978-3-319-15347-6_300496,0.7100
Wan17c,A Game-Theoretic Analysis of the Off-Switch Game,"Tobias Wängberg, Mikael Böörs, Elliot Catt, Tom Everitt, and Marcus Hutter",2017,2017-08-13,Artificial General Intelligence,,167-177,"The off-switch game is a game theoretic model of a highly intelligent robot interacting with a human. In the original paper by Hadfield-Menell et al. (2016b), the analysis is not fully game-theoretic as the human is modelled as an irrational player, and the robot’s best action is only calculated under unrealistic normality and soft-max assumptions. In this paper, we make the analysis fully game theoretic, by modelling the human as a rational player with a random utility function. As a consequence, we are able to easily calculate the robot’s best action for arbitrary belief and irrationality assumptions.",21,2.4,10.1007/978-3-319-63703-7_16,https://doi.org/10.1007/978-3-319-63703-7_16,0.6900
Wye25b,Value Under Ignorance in Universal Artificial Intelligence,Cole Wyeth and Marcus Hutter,2025,2025-12-18,ArXiv,abs/2512.17086,,"We generalize the AIXI reinforcement learning agent to admit a wider class of utility functions. Assigning a utility to each possible interaction history forces us to confront the ambiguity that some hypotheses in the agent's belief distribution only predict a finite prefix of the history, which is sometimes interpreted as implying a chance of death equal to a quantity called the semimeasure loss. This death interpretation suggests one way to assign utilities to such history prefixes. We argue that it is as natural to view the belief distributions as imprecise probability distributions, with the semimeasure loss as total ignorance. This motivates us to consider the consequences of computing expected utilities with Choquet integrals from imprecise probability theory, including an investigation of their computability level. We recover the standard recursive value function as a special case. However, our most general expected utilities under the death interpretation cannot be characterized as such Choquet integrals.",4,8.0,10.1007/978-3-032-00800-8_30,https://doi.org/10.1007/978-3-032-00800-8_30,0.6400
